book_fy,section,fund,dept_code,object_code,account,name,fiscal_year,measure,amount
2024,expenditure,municipal,1100,51011,1100-51011,Salaries and Wages,2021,budget,536773.0
2024,expenditure,municipal,1100,51011,1100-51011,Salaries and Wages,2022,budget,555386.0
2024,expenditure,municipal,1100,51011,1100-51011,Salaries and Wages,2023,budget,581228.0
2024,expenditure,municipal,1100,51011,1100-51011,Salaries and Wages,2024,budget,652046.0
2024,expenditure,municipal,1100,51012,1100-51012,Part-Time Wages,2021,budget,19711.0
2024,expenditure,municipal,1100,51012,1100-51012,Part-Time Wages,2022,budget,22151.0
2024,expenditure,municipal,1100,51012,1100-51012,Part-Time Wages,2023,budget,14065.0
2024,expenditure,municipal,1100,51012,1100-51012,Part-Time Wages,2024,budget,14824.0
2024,expenditure,municipal,1100,51013,1100-51013,Overtime,2021,budget,11000.0
2024,expenditure,municipal,1100,51013,1100-51013,Overtime,2022,budget,12000.0
2024,expenditure,municipal,1100,51013,1100-51013,Overtime,2023,budget,12000.0
2024,expenditure,municipal,1100,51013,1100-51013,Overtime,2024,budget,12000.0
2024,expenditure,municipal,1100,51018,1100-51018,Town Council Stipends,2021,budget,7000.0
2024,expenditure,municipal,1100,51018,1100-51018,Town Council Stipends,2022,budget,7000.0
2024,expenditure,municipal,1100,51018,1100-51018,Town Council Stipends,2023,budget,7000.0
2024,expenditure,municipal,1100,51018,1100-51018,Town Council Stipends,2024,budget,7000.0
2024,expenditure,municipal,1100,51020,1100-51020,Volunteer Development,2021,budget,4500.0
2024,expenditure,municipal,1100,51020,1100-51020,Volunteer Development,2022,budget,4500.0
2024,expenditure,municipal,1100,51020,1100-51020,Volunteer Development,2023,budget,4500.0
2024,expenditure,municipal,1100,51020,1100-51020,Volunteer Development,2024,budget,4500.0
2024,expenditure,municipal,1100,52024,1100-52024,Dues/Memberships,2021,budget,2280.0
2024,expenditure,municipal,1100,52024,1100-52024,Dues/Memberships,2022,budget,2280.0
2024,expenditure,municipal,1100,52024,1100-52024,Dues/Memberships,2023,budget,2280.0
2024,expenditure,municipal,1100,52024,1100-52024,Dues/Memberships,2024,budget,2280.0
2024,expenditure,municipal,1100,52026,1100-52026,Professional Development,2021,budget,8350.0
2024,expenditure,municipal,1100,52026,1100-52026,Professional Development,2022,budget,8350.0
2024,expenditure,municipal,1100,52026,1100-52026,Professional Development,2023,budget,8350.0
2024,expenditure,municipal,1100,52026,1100-52026,Professional Development,2024,budget,8350.0
2024,expenditure,municipal,1100,52027,1100-52027,Supplies,2021,budget,15100.0
2024,expenditure,municipal,1100,52027,1100-52027,Supplies,2022,budget,15100.0
2024,expenditure,municipal,1100,52027,1100-52027,Supplies,2023,budget,15100.0
2024,expenditure,municipal,1100,52027,1100-52027,Supplies,2024,budget,19000.0
2024,expenditure,municipal,1100,52032,1100-52032,Telephone,2021,budget,4400.0
2024,expenditure,municipal,1100,52032,1100-52032,Telephone,2022,budget,4400.0
2024,expenditure,municipal,1100,52032,1100-52032,Telephone,2023,budget,4400.0
2024,expenditure,municipal,1100,52032,1100-52032,Telephone,2024,budget,5400.0
2024,expenditure,municipal,1100,52037,1100-52037,Auto Allowances/Mileage,2021,budget,2000.0
2024,expenditure,municipal,1100,52037,1100-52037,Auto Allowances/Mileage,2022,budget,2000.0
