section,fund,account,dept_code,department,category,name,budget_2024,budget_2025,budget_2026,budget_2027,actual_2023,actual_2024,actual_2025
expenditure,municipal,1100-51011,1100,Administration,General Government,Salaries and Wages,652046.0,825875.0,768190.0,805439.0,567434.0,649568.0,715905.0
expenditure,municipal,1100-51012,1100,Administration,General Government,Part-Time Wages,14824.0,0.0,4420.0,4597.0,20063.0,2936.0,34450.0
expenditure,municipal,1100-51013,1100,Administration,General Government,Overtime,12000.0,12000.0,9000.0,9000.0,9151.0,6771.0,3021.0
expenditure,municipal,1100-51018,1100,Administration,General Government,Town Council Stipends,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0
expenditure,municipal,1100-51020,1100,Administration,General Government,Volunteer Development,4500.0,4500.0,4500.0,4500.0,3270.0,0.0,3096.0
expenditure,municipal,1100-52024,1100,Administration,General Government,Dues/Memberships,2280.0,3080.0,4260.0,4260.0,1061.0,2224.0,2158.0
expenditure,municipal,1100-52026,1100,Administration,General Government,Professional Development,8350.0,9450.0,9850.0,9850.0,3437.0,6651.0,4270.0
expenditure,municipal,1100-52027,1100,Administration,General Government,Supplies,19000.0,19000.0,19000.0,19000.0,20566.0,21632.0,15026.0
expenditure,municipal,1100-52032,1100,Administration,General Government,Telephone,5400.0,5400.0,5400.0,8640.0,4778.0,6454.0,7183.0
expenditure,municipal,1100-52037,1100,Administration,General Government,Auto Allowances/Mileage,2000.0,3600.0,3600.0,3600.0,1469.0,2025.0,1962.0
expenditure,municipal,1100-52065,1100,Administration,General Government,Audit,17500.0,17500.0,20000.0,23000.0,15000.0,23000.0,25750.0
expenditure,municipal,1100-52067,1100,Administration,General Government,Elections,17500.0,19500.0,17500.0,17500.0,9861.0,10766.0,20030.0
expenditure,municipal,1100-52069,1100,Administration,General Government,Annual Report,2600.0,2600.0,2000.0,2000.0,142.0,1505.0,1118.0
expenditure,municipal,1100-52070,1100,Administration,General Government,Sewer Billing,8500.0,9100.0,9100.0,9100.0,9661.0,7776.0,8510.0
expenditure,municipal,1100-52071,1100,Administration,General Government,Postage,16500.0,16500.0,16500.0,17500.0,11652.0,12234.0,16595.0
expenditure,municipal,1100-52073,1100,Administration,General Government,Printing,3000.0,3000.0,3000.0,3000.0,2807.0,3625.0,2530.0
expenditure,municipal,1100-52077,1100,Administration,General Government,Advertising,12000.0,12000.0,9000.0,9000.0,13895.0,8304.0,7097.0
expenditure,municipal,1100-52079,1100,Administration,General Government,Legal and Professional,93000.0,83000.0,83000.0,83000.0,74354.0,83948.0,92653.0
expenditure,municipal,1100-52080,1100,Administration,General Government,Contracted Services-Assessing,124594.0,128846.0,142107.0,147372.0,115944.0,124594.0,125758.0
expenditure,municipal,1100-52081,1100,Administration,General Government,Tax Maps,5900.0,5900.0,5900.0,5900.0,4830.0,3250.0,3094.0
expenditure,municipal,1100-52082,1100,Administration,General Government,Transfer to Technology Reserve,5000.0,,,,,,
expenditure,municipal,1100-52083,1100,Administration,General Government,Registry Service,1600.0,2100.0,1600.0,1600.0,1350.0,858.0,969.0
expenditure,municipal,1100-53001,1100,Administration,General Government,Gen Gov't Capital Outlays,5000.0,5000.0,5000.0,5000.0,6000.0,4771.0,4931.0
expenditure,municipal,1110-52085,1110,Insurances,General Government,Property Insurance,42000.0,53800.0,60434.0,66727.0,44013.0,45984.0,54397.0
expenditure,municipal,1110-52087,1110,Insurances,General Government,Automobile Insurance,46262.0,50800.0,60000.0,68304.0,46414.0,48650.0,58229.0
expenditure,municipal,1110-52089,1110,Insurances,General Government,Workers' Compensation Insurance,195746.0,213111.0,240196.0,208919.0,132935.0,182082.0,206825.0
expenditure,municipal,1110-52091,1110,Insurances,General Government,Liability Insurance,47165.0,50100.0,52245.0,49395.0,42663.0,47480.0,47839.0
expenditure,municipal,1115-51101,1115,Benefits,General Government,Other Insurance Benefits,16050.0,16050.0,18400.0,18400.0,9934.0,15462.0,5895.0
expenditure,municipal,1115-52093,1115,Benefits,General Government,Group Life Insurance,36895.0,42531.0,46523.0,49263.0,28415.0,33920.0,37591.0
expenditure,municipal,1115-52095,1115,Benefits,General Government,Retirement Plans,564179.0,604894.0,632629.0,722920.0,486971.0,585841.0,611383.0
expenditure,municipal,1115-52097,1115,Benefits,General Government,FICA,510470.0,558686.0,583971.0,618326.0,435840.0,498838.0,527252.0
expenditure,municipal,1115-52099,1115,Benefits,General Government,Health & Dental Insurance,1366726.0,1404621.0,1495285.0,1655427.0,1068890.0,1265687.0,1343326.0
