function,fy23_actual,fy24_actual,fy25_actual,fy26_actual,fy26_budget,fy27_budget
Regular Program,15166841.09,16126125.74,17622783.77,20250559.29,18649362.54,19763703.5
Special Ed Programs,4908780.57,5307256.83,6183195.1,6939120.32,7327045.22,7433166.07
Operations and Mainten,2690688.75,2839233.36,3177701.14,3035350.59,3401736.27,3557043.94
Debt Service,2572862.11,2540998.09,2503255.0,1903222.58,2467721.8,2451132.0
Office of the Principa,1551859.0,1740031.55,1796586.77,1826949.98,1837442.75,1923956.23
Student Transportation,1431388.72,1433471.97,1607222.54,1427029.98,1547620.59,1821169.9
Technology - Instructi,1001516.77,1077494.71,1196202.53,1273631.89,1322466.88,1438104.09
Extra Curr Athletics,847552.97,909155.49,920979.84,825579.88,1075783.55,1107525.37
Superintendent School,929637.56,1077751.06,931129.81,1001871.64,1014087.73,1065602.17
Guidance,714739.07,829593.48,888120.75,1036295.73,968405.73,1035421.9
Library,425777.25,456249.7,494209.65,555571.9,537843.27,578211.7
Student Health,448218.16,448121.87,476655.09,601730.48,618973.61,525018.75
Improvement of Instruc,324315.1,352810.09,408901.46,421715.63,420975.47,435083.92
English Language Learn,233032.28,337217.38,443856.47,468281.77,449423.1,412587.9
Extra and Co Curr Acti,174961.52,196156.86,200809.04,193284.52,290015.94,296262.59
Capital Reserves,245000.0,149000.0,149000.0,149000.0,149000.0,102231.0
Contingency,2400.0,1854.0,15307.37,32505.91,85000.0,85000.0
School Nutrition Trans,65000.0,65000.0,65000.0,0.0,65000.0,65000.0
Assessment,2247.15,5730.07,3019.78,8952.0,10520.0,11700.0
Student Support 504,4991.02,2734.7,794.24,982.8,2500.0,4000.0
