function,program_code,program,object_code,object_name,spend_category,fy23_actual,fy24_actual,fy25_actual,fy26_actual,fy26_budget,fy27_budget
Regular Program,813131,Regular Programs Inst HS 9-12,1010,Sal T 9-12,Salaries & Wages,3663221.65,3870932.45,4234137.86,5192475.84,4496492.3,4678975.0
Regular Program,811414,Regular Programs Inst MS,1010,Sal Teach,Salaries & Wages,2847020.34,2952878.23,3098925.23,3969381.67,3497059.3,3482982.0
Regular Program,811313,Regular Programs Inst YES,1010,Sal Teach,Salaries & Wages,2559153.64,2849358.75,2965049.59,3509396.03,2953668.4,3204911.0
Regular Program,811212,Regular Programs Inst Rowe,1010,Sal T k-1,Salaries & Wages,1598111.82,1677401.25,1862616.78,2278551.54,2005723.3,2073245.0
Debt Service,851093,Major Capital Debt Service,8310,Principal,Other / Dues / Debt,1221590.91,1251555.56,1277027.03,1306071.43,1306071.4,1356034.0
Debt Service,851093,Major Capital Debt Service,8320,Interest,Other / Dues / Debt,1351271.2,1289442.53,1226227.97,597151.15,1161650.4,1095098.0
Regular Program,813131,Regular Programs Inst HS 9-12,2110,Insur T,Employee Benefits,771210.96,763691.2,801646.44,719466.81,847399.48,895045.6
Special Ed Programs,820113,Special Program Reg Classroom,1020,Sal ET,Salaries & Wages,420746.42,449338.89,537304.31,691564.6,721787.17,716406.4
Regular Program,811414,Regular Programs Inst MS,2110,Insur T,Employee Benefits,613164.83,555908.0,561937.06,554369.63,666597.42,692756.1
Regular Program,811313,Regular Programs Inst YES,2110,Insur T,Employee Benefits,518996.49,555728.51,611475.5,497087.02,585060.9,600255.9
Student Transportation,827090,Student Transportation,1186,Sal Reg,Salaries & Wages,363403.99,385529.27,391639.63,436394.66,466860.79,492743.5
Special Ed Programs,820112,Special Program Reg Classroom,1020,Sal ET,Salaries & Wages,226309.08,278055.59,414668.34,574691.07,558880.36,453897.9
Regular Program,811212,Regular Programs Inst Rowe,2110,Insur T,Employee Benefits,343793.29,374372.35,417055.08,373119.88,450149.36,453834.8
Special Ed Programs,820014,Special Program Resource Room,1010,Sal Teach,Salaries & Wages,330647.65,359724.82,389734.52,469230.62,416029.13,445488.0
Regular Program,811212,Regular Programs Inst Rowe,1020,EdTech k-1,Salaries & Wages,223464.01,276998.02,417600.79,494324.8,381747.13,443239.1
Special Ed Programs,820031,Special Program Resource Room,1010,Sal Teach,Salaries & Wages,359342.17,354397.98,343195.18,478801.82,412067.32,440349.8
Special Ed Programs,820013,Special Program Resource Room,1010,Sal Teach,Salaries & Wages,260716.54,305837.1,276653.3,336297.27,406618.54,437990.2
Operations and Mainten,826131,O&M Custodial HS,1186,Sal Reg,Salaries & Wages,313130.53,313809.28,285245.36,337759.8,342867.2,371486.2
Regular Program,811313,Regular Programs Inst YES,1020,Sal ET,Salaries & Wages,177940.0,167199.57,364417.5,390548.71,219485.88,362599.2
Special Ed Programs,820114,Special Program Reg Classroom,1020,Sal ET,Salaries & Wages,210996.38,234284.17,297881.61,283759.26,322139.66,352350.5
Student Transportation,827090,Student Transportation,4300,Rep & Main,Property Services,239701.87,268430.1,379856.19,255368.81,282427.0,328604.0
Guidance,821230,Guidance Sal & Ben 9-12,1010,Sal Guid,Salaries & Wages,221086.27,303381.9,292714.49,348353.87,304042.96,322180.1
Office of the Principa,824030,Off of the Prin Sal Ben 9-12,1048,Sal Admin,Salaries & Wages,261147.14,276947.31,292125.14,303895.93,301336.85,315677.8
Operations and Mainten,826113,O&M Custodial YES,1186,Sal Reg,Salaries & Wages,144684.03,170087.94,202544.46,247865.91,292134.96,309170.7
Technology - Instructi,822399,Technology - Instruction 9-12,4431,Lease Tech,Property Services,203557.33,203557.33,203557.33,0.0,0.0,309000.0
Office of the Principa,824007,Off Of the Prin Sal & Ben 5-8,1047,Sal Admin,Salaries & Wages,252125.0,265379.92,279971.0,293421.86,289791.83,304515.9
Office of the Principa,824006,Off of the Prin Sal & Ben 2-4,1046,Sal Admin,Salaries & Wages,235788.0,248755.78,265062.0,275791.93,282860.53,294370.8
Special Ed Programs,820112,Special Program Reg Classroom,1010,Sal Teach,Salaries & Wages,120288.05,235741.27,244162.74,326196.1,286455.67,293112.0
Operations and Mainten,826114,O&M Custodial MS,1186,Sal Reg,Salaries & Wages,226202.27,248206.58,238063.51,234969.69,257680.8,271098.4
Special Ed Programs,820131,Special Program Reg Classroom,1020,Sal ET,Salaries & Wages,245097.14,209459.25,251815.03,243535.1,259866.3,270235.0
Special Ed Programs,821409,STUDENT PSYCH 9-12,1060,Oth Prof,Salaries & Wages,143066.17,157525.64,167663.4,238940.0,241136.25,248164.7
Special Ed Programs,820131,Special Program Reg Classroom,1010,Sal Teach,Salaries & Wages,162856.91,186754.64,196147.68,236953.15,212621.92,216173.2
Special Ed Programs,820414,Social Work Services,1010,Sal Teach,Salaries & Wages,112034.1,130412.71,175780.97,227865.64,195891.68,210182.0
Special Ed Programs,820113,Special Program Reg Classroom,1010,Sal Teach,Salaries & Wages,146125.11,214517.02,177423.89,221301.94,199084.96,205081.8
Superintendent School,823290,Office of the Superintendent,1040,Sal Admin,Salaries & Wages,172143.08,181335.9,190153.02,192559.0,197558.91,204683.6
Regular Program,813131,Regular Programs Inst HS 9-12,2310,Ret Tchrs,Employee Benefits,141875.33,176966.53,191804.93,166466.79,202323.03,204003.3
Special Ed Programs,820113,Special Program Reg Classroom,2120,Insur ET,Employee Benefits,136001.0,111444.12,139111.52,141229.38,198519.78,190610.9
Special Ed Programs,820431,Social Work Services,1010,Sal Teach,Salaries & Wages,146762.31,158206.38,164950.88,204052.92,176684.45,185365.0
Technology - Instructi,822390,Technology Sal & Ben Adm k-12,1185,Sal Suppor,Salaries & Wages,144861.0,152791.86,160613.0,166993.51,167020.67,174873.5
English Language Learn,841099,Multi Language Learners 9-12,1010,Sal Teach,Salaries & Wages,38208.0,55644.42,56112.48,63539.1,110046.72,163043.6
Regular Program,811212,Regular Programs Inst Rowe,2120,Insur ET,Employee Benefits,98197.41,93318.48,129475.69,123267.24,142316.03,161103.8
Improvement of Instruc,822195,Teaching and Learning K-8,1040,Sal Admin,Salaries & Wages,130000.0,137150.0,144008.0,149892.93,149768.32,157809.8
Guidance,821213,Guidance YES,1010,Sal Guid Y,Salaries & Wages,91884.95,97320.68,102657.06,123017.94,146756.6,156090.0
Superintendent School,825090,Off of Finance and Operations,1040,Sal Admin,Salaries & Wages,142427.9,214257.37,144008.0,149802.93,149768.32,155309.8
English Language Learn,841095,Multi Language Learners k-8,1010,Sal Teach,Salaries & Wages,112095.07,181085.3,245244.04,279680.45,184781.15,155279.6
Regular Program,811414,Regular Programs Inst MS,2310,Ret Tchrs,Employee Benefits,110125.53,131886.5,140001.4,129868.08,157100.8,151858.0
Operations and Mainten,826012,Operations & Maintenance Rowe,3400,Pur Serv,Prof/Technical Services,29538.16,55657.8,142644.0,120653.02,149000.0,150000.0
Special Ed Programs,820390,Special Ed Admin District,1040,Sal Admin,Salaries & Wages,133499.98,140649.98,186471.25,142636.0,152268.32,147544.3
Regular Program,811313,Regular Programs Inst YES,2310,Ret Tchr,Employee Benefits,100354.74,128539.66,134893.64,110910.73,132967.68,139734.1
Technology - Instructi,822390,Technology Sal & Ben Adm k-12,1040,Sal Admin,Salaries & Wages,114400.0,120692.0,121852.0,130919.93,131795.66,139172.1
Operations and Mainten,826031,Operations and Maint HS,6210,Nat Gas,Supplies,74517.07,109307.47,147373.22,138356.65,120000.0,138000.0
Office of the Principa,824005,Off of the Prin Sal & Ben k-1,1045,Sal Admin,Salaries & Wages,128146.0,154018.1,138428.98,145091.93,143284.32,136795.1
Office of the Principa,824030,Off of the Prin Sal Ben 9-12,1184,Sal Cler,Salaries & Wages,111395.11,133850.71,144539.94,138503.89,133750.96,134761.7
